id,Blue,Green,Red,NIR,SWIR1,SWIR2,QA_condition,SR,MSI,NDVI,EVI,EVI2,SAVI,NDMI,NBR,BGT,GRN,WET,Year,Month,Day,DOY,YYYY_DOY
LT05_026027_19840418,0.09617500000000001,0.121695,0.13085249999999998,0.2566375,0.13374000000000003,0.08470749999999999,['clear'],0.5098728751643855,0.5211241537187669,0.3246148287697748,0.23814978340553158,0.20020742562075688,0.2125967616536525,0.3148170680943445,0.5036839561147813,0.35115635650000004,0.07720942600000004,-0.033648720750000014,1984,4,18,109,1984_109
LT05_026027_19840504,0.053192499999999976,0.07670500000000002,0.0861925,0.22765249999999998,0.20826499999999998,0.12925750000000003,['clear'],0.3786143354454707,0.9148373068602366,0.45073204925998495,0.2627680550872997,0.24652940071362114,0.26072532238939844,0.04447515871695907,0.2756857471071137,0.31589919225,0.08934652074999996,-0.1405061995,1984,5,4,125,1984_125
LT05_026027_19840707,0.025747500000000006,0.048875,0.034355,0.38553,0.133795,0.05429250000000002,['clear'],0.08911109381889866,0.3470417347547532,0.8363599557021567,0.6277466990453531,0.5980574012487893,0.572639514721949,0.48473499253839114,0.7531163139675664,0.32019403500000004,0.26337742175,-0.04142907850000002,1984,7,7,189,1984_189
LT05_026027_19840723,0.023739999999999983,0.046564999999999995,0.031907500000000005,0.412645,0.16165249999999998,0.060865,['clear'],0.0773243344763659,0.3917471434283706,0.8564511503140797,0.667473387843258,0.6391546128417301,0.6046315583305321,0.43704264775660706,0.7429198960951194,0.343254457,0.28613136450000004,-0.061371203999999985,1984,7,23,205,1984_205
LT05_026027_19840808,0.020494999999999985,0.032594999999999985,0.025334999999999996,0.2106575,0.06617250000000002,0.025032499999999985,['clear'],0.12026630905616936,0.3141236367088759,0.7852897867516977,0.3832286975114872,0.36438873689844326,0.37769916133656245,0.5219268142903586,0.787581144724002,0.17911092800000003,0.13865495300000003,-0.011658593250000012,1984,8,8,221,1984_221
LT05_026027_19850421,0.04565749999999999,0.06361499999999998,0.06592500000000001,0.19017,0.14188,0.07673249999999998,['clear'],0.34666351159488884,0.7460693064100542,0.48515199437708656,0.24983134448855904,0.23035805664533254,0.24648688326202395,0.14542990513476886,0.42501475257818877,0.243367318,0.08209172375000001,-0.0783815765,1985,4,21,111,1985_111
LT05_026027_19850507,0.0387275,0.05602499999999999,0.0653475,0.2066425,0.170755,0.09911750000000003,['clear'],0.31623455968641495,0.8263304983244008,0.5194860105150925,0.27000325811638826,0.25907120511427956,0.27454047332219333,0.09509204485986265,0.3516647043432757,0.26210926375,0.09546368125000002,-0.11101455600000001,1985,5,7,127,1985_127
LT05_026027_19850624,0.020439999999999986,0.044529999999999986,0.033062499999999995,0.3321525,0.13005499999999998,0.0562725,['clear'],0.09954012087821104,0.39155207321937957,0.8189422668838904,0.5429204688404785,0.5297369292650916,0.5185242974289627,0.4372440949140809,0.7102529445838965,0.28523268,0.22342349400000006,-0.050047834249999985,1985,6,24,175,1985_175
LT05_026027_19850710,0.023712499999999997,0.0448325,0.030202499999999993,0.34857,0.1416325,0.05539250000000001,['clear'],0.08664687150357171,0.4063244111656195,0.8405243252876068,0.5887228827436104,0.5600896446023239,0.5434298979542488,0.42214696987469463,0.7257542469907479,0.29728660100000004,0.237385189,-0.05549589225000001,1985,7,10,191,1985_191
LT05_026027_19850726,0.026187500000000002,0.045162499999999994,0.027067499999999994,0.362265,0.1454275,0.05321999999999999,['clear'],0.07471740300608669,0.40143955391771213,0.8609543256727863,0.6308940901232907,0.5871481901617613,0.5653636294636709,0.4271040048848467,0.7438174663345247,0.30474521425000006,0.24962944299999998,-0.05539642749999999,1985,7,26,207,1985_207
LT05_026027_19850827,0.025912500000000005,0.046262499999999984,0.0328425,0.3047625,0.1222725,0.055530000000000024,['clear'],0.10776424264796357,0.40120585701981054,0.8054383080819301,0.5199339566090715,0.49133247734417373,0.4869598438404738,0.4273420211458077,0.6917504527571348,0.26862270750000006,0.2005276705,-0.04820915950000003,1985,8,27,239,1985_239
LT05_026027_19850912,0.023822499999999996,0.043127499999999985,0.036142499999999994,0.24792000000000003,0.1197975,0.04585,['clear'],0.14578291384317518,0.48321030977734747,0.7455313531353137,0.4116640829635966,0.39668751339290403,0.4051542447190116,0.34842644149380986,0.6878510399291964,0.23307933425,0.15638551200000003,-0.0493476155,1985,9,12,255,1985_255
LT05_026027_19851014,0.02621499999999999,0.03971749999999999,0.03473999999999999,0.17977500000000002,0.115645,0.06507249999999998,['clear'],0.19324155193992484,0.6432763176192462,0.6761065659744074,0.30428561537928966,0.2870500043146069,0.30447576327998715,0.21708076636652907,0.46846506498943236,0.19538315925,0.10076939375000003,-0.070175615,1985,10,14,287,1985_287
LT05_026027_19851030,0.017882499999999996,0.043952500000000005,0.03669249999999999,0.1794175,0.09061999999999998,0.044062500000000004,['clear'],0.20450903618654806,0.505078936001226,0.6604275600388692,0.2819640781024198,0.2815134288167975,0.2989589588191759,0.32883395824653994,0.6056694111329872,0.18365864974999999,0.10270707950000002,-0.03916649124999999,1985,10,30,303,1985_303
LT05_026027_19860526,0.030120000000000008,0.055255,0.042825,0.24962499999999999,0.14416250000000003,0.06614500000000001,['clear'],0.17155733600400602,0.5775162744116176,0.7071294238331338,0.40369336482714185,0.38228193477545547,0.3914442551580541,0.2678157635780718,0.5810558317762928,0.2563643460000001,0.147074375,-0.07333462250000003,1986,5,26,146,1986_146
